timestamp,close,volume
,5311,1968023
,5310.5,3088905
,5309,795656
,5307,646196
,5266,39461550
,5276,20706601
,5275,10609996
,5264,21852946
,5269,12706638
,5278,10668784
,5278.5,3529708
,5286.5,8074302
,5296.5,9334882
,5287,6473881
,5283,3179404
,5287.5,4773177
,5289,3847411
,5292.5,2168004
,5295,3787470
,5296.5,3415414
,5292,1857131
,5294,1068102
,5292.5,3256824
,5290.5,1150166
,5294,1153054
,5299,2450072
,5314,7352242
,5307.5,4594863
,5314,5354616
,5321.5,19583004
,5319,4052072
,5319.5,3164658
,5320,3840233
,5322.5,3247105
,5327,3681936
,5327,3440435
,5336.5,13081172
,5337.5,13201950
,5335,4987940
,5326.5,6688733
,5327,1769516
,5330.5,1065184
,5333,1186683
,5330.5,3226459
,5330.5,846886
,5330.5,239069
,5330.5,472703
,5330.5,617108
,5332,2109787
,5334,765590
,5333.5,305475
,5326,4615201
,5326.5,1013157
,5325,1709482
,5325,572493
,5327.5,1552176
,5327.5,303944
,5328,245089
,5327,845462
,5327,1193902
,5326.5,1253015
,5326.5,921488
,5329.5,3255440
,5329.5,1623502
,5334,2565524
,5334,858824
,5332,3426328
,5332,463276
,5332.5,884326
,5335,3069190
,5335,1990649
,5334.5,2205811
,5340,7567578
,5339.5,5165410
,5337.5,2492796
,5337.5,327355
,5333.5,5868775
,5334,1990489
,5334,1313657
,5334.5,672203
,5335.5,595783
,5326.5,9833533
,5323,3876993
,5323.5,1543278
,5322.5,2638412
,5325,1339807
,5323,1123622
,5323,812444
,5323,236079
,5323.5,636473
,5324,637532
,5324.5,1443219
,5327.5,1383702
,5326,909884
,5319,3499511
,5316,5593257
,5315,3211256
,5315.5,5592652
,5318,1991815
,5321,1952677
,5319,1166205
,5315.5,1266884
,5313.5,1537190
,5316,1321622
,5314.5,1134932
,5315.5,1875396
,5315.5,1663919
,5313.5,2518015
,5312,3458137
,5315.5,1775659
,5316,737218
,5320,1430137
,5321,1337193
,5321.5,421938
,5321,365090
,5323,1465385
,5323.5,924331
,5324,1893525
,5334,8498919
,5329,2533765
,5327.5,1775751
,5327,498024
,5327.5,2338243
,5329,2865567
,5329,577033
,5325,1912110
,5323.5,3435676
,5321.5,1263933
,5316,3598544
,5317.5,3698047
,5313,2762793
,5309.5,15316602
,5302.5,7986497
,5309.5,32042312
,5303.5,7548436
,5296,9736410
,5300.5,7291100
,5304,4470921
,5307,3913045
,5306,1244425
,5306.5,616757
,5301,6432475
,5297,2840929
,5290,8476731
,5293,8891317
,5286.5,6094104
,5283,21914216
,5289,10370365
,5272.5,8653207
,5270,55708566
,5258.5,19182916
,5252.5,24059655
,5250,19051770
,5241.5,19064734
,5264.5,16432327
,5262,6939344
,5265,7254342
,5271,5533503
,5265,5478624
,5265.5,2918648
,5268.5,2373708
,5269,2426668
,5264,4459202
,5264.5,1727743
,5261,5193551
,5255,7426471
,5260.5,3268244
,5264,2034596
,5263.5,975578
,5254,5893630
,5259,3078520
,5260,2950446
,5261,3284882
,5262.5,2699632
,5264,1612548
,5261.5,2220443
,5258.5,3323154
,5254,9302788
,5239,12775077
,5251.5,4034501
,5243.5,4775792
,5230,11208422
,5234.5,13561042
,5241,38736290
,5245,7960498
,5250,4912241
,5249.5,4131489
,5250,6797749
,5249,4560657
,5262,11081903
,5264,6318527
,5262,3413560
,5263,1824474
,5268.5,6431017
,5266,2282699
,5265,988976
,5263.5,1327427
,5264,2476223
,5269.5,3377956
,5268.5,1911755
,5265.5,1655647
,5266,1006047
,5267.5,1302051
,5263.5,2962787
,5258.5,4802923
,5256.5,1988236
,5259,3289671
,5266,3964845
,5265,1060720
,5268,2130127
,5265,1236232
,5268,1186188
,5269.5,3600239
,5267,2479364
,5263,1947011
,5262.5,1120876
,5263,1160907
,5263.5,789362
,5263.5,172795
,5268,2520519
,5269.5,4697121
,5276.5,8015927
,5275.5,3276983
,5275.5,1810083
,5278.5,3857811
,5271.5,6151885
,5269.5,3969688
,5271.5,2246658
,5271,1518488
,5275.5,2340113
,5275.5,3435109
,5274.5,886729
,5273,803546
,5272.5,793445
,5270,3968989
,5269,1157544
,5268,1198247
,5264,3345717
,5262.5,3772869
,5263,679832
,5256,10681169
,5249.5,6453661
,5254,4260463
,5259,2955524
,5259.5,1008097
,5261,1351760
,5262,2161350
,5262,242844
,5264,1044010
,5267.5,1783312
,5267,1983438
,5266,572433
,5253,7267004
,5254.5,7607080
,5257,3056612
,5251.5,3262974
,5249,4470598
,5247,1726820
,5242,10220052
,5234,22755123
,5236,10192124
,5234,3142626
,5244,7454772
,5240.5,3135430
,5240,1001074
,5246,3286360
,5245.5,290567
,5256.5,4012492
,5261.5,12138614
,5262,3296893
,5258.5,1484775
,5256.5,1220897
,5255.5,2743238
,5257,3993500
,5266,3371385
,5265,1228728
,5262,1513379
,5261.5,500432
,5263,887354
,5259.5,1918259
,5258.5,454542
,5253.5,1341632
,5250.5,2715349
,5239.5,16593957
,5234.5,5100678
,5256,9836429
,5253.5,1873646
,5253,690150
,5258.5,2583358
,5260,1495289
,5262.5,2669160
,5270,6141383
,5284,18704693
,5272,8930303
,5272.5,4158709
,5271.5,2071349
,5270,2613960
,5269.5,3013026
,5271.5,2281689
,5284,8486194
,5288.5,17234038
,5284,4533428
,5293.5,6682896
,5293.5,4173528
,5293,2444562
,5294.5,1705709
,5289,11018593
,5288.5,2112107
,5289,1908619
,5286.5,1578977
,5284.5,1790260
,5285,416327
,5277.5,7566628
,5283,3287513
,5284,769583
,5283.5,516724
,5287.5,3498020
,5294.5,5810962
,5303.5,13797047
,5301,4862935
,5295.5,7405782
,5294.5,3964567
,5294,3076129
,5296.5,1184766
,5293,2993491
,5293,905484
,5293,702143
,5292,3748307
,5299,3766402
,5295,2170991
,5294,2250893
,5294.5,1320556
,5290.5,2866921
,5291,1943994
,5289,2363623
,5280,6262291
,5278,9455574
,5278,1827211
,5276,1843016
,5277,2505190
,5270.5,3501657
,5271,1594699
,5272.5,2077458
,5269,4744290
,5269.5,7769922
,5274,3497506
,5275.5,1192611
,5276,935330
,5278,995893
,5277.5,1572531
,5278,301256
,5276.5,694237
,5274.5,1440084
,5274,614523
,5267.5,7774989
,5265,4601171
,5264.5,2734779
,5267.5,1253306
,5259.5,5390506
,5263.5,7480003
,5266,1927010
,5266.5,1526942
,5269,2240323
,5268.5,2131440
,5269.5,1051498
,5265,3235106
,5260.5,2102191
,5260.5,4471263
,5258,4920751
,5267,4812375
,5268.5,4430238
,5268,483353
,5269,1213611
,5272,1946791
,5273.5,2118297
,5272.5,811627
,5271,1166507
,5274.5,2251648
,5278.5,3205307
,5278.5,2276841
,5277,929285
,5279.5,2234744
,5279.5,5366503
,5281.5,11228363
,5281.5,10823126
,5280,3918296
,5279.5,728139
,5275.5,4079361
,5275,1573056
,5274.5,752557
,5274.5,668496
,5272,1425670
,5275.5,2509443
,5277,2319479
,5277,166543
,5277,532872
,5272,1343528
,5271,4455346
,5269.5,3257638
,5272,1219986
,5284.5,10507192
,5284.5,901781
,5284,1470871
,5284,4062783
,5284.5,793185
,5286.5,3357834
,5287,2347477
,5283.5,2190764
,5282,1339961
,5284,782724
,5283,995287
,5283,303012
,5285.5,2013482
,5281.5,934446
,5281,710982
,5280,1031812
,5277,2602960
,5279,3008314
,5282,2240578
,5288,4434093
,5287.5,3059633
,5286.5,728510
,5286.5,368419
,5286.5,835259
,5287,5197456
,5287.5,703217
,5287,917231
,5291,3909267
,5287.5,4191502
,5274,7529470
,5274,12243954
,5276.5,2581196
,5280,2401237
,5281,1413994
,5282,853240
,5285.5,2340841
,5291.5,12215949
,5297,5942310
,5298,6652590
,5295,8644186
,5299.5,10802183
,5293.5,7491367
,5296,3822112
,5296,1526585
,5296.5,1576906
,5296,567526
,5296,338479
,5298,1979118
,5308,15530649
,5311,6811457
,5309,4980870
,5309.5,2562169
,5314.5,14720056
,5317.5,7378819
,5323,14497749
,5320.5,6093621
,5318,5372844
,5316.5,3599004
,5316,4109190
,5316,1447202
,5319.5,3551662
,5320.5,2767084
,5310,10276166
,5310.5,2485505
,5309,4925635
,5309.5,2362142
,5315,5799988
,5317.5,3274281
,5319,1889347
,5316,2976536
,5316.5,2100247
,5312.5,3027019
,5312,2873711
,5311.5,2338105
,5310,3338976
,5309,1697468
,5308,6380296
,5304.5,7281227
,5306,6227541
,5306,802324
,5310,4015028
,5304.5,3297590
,5306,860377
,5306.5,262118
,5304,2284077
,5302,3177772
,5302,1522524
,5298.5,6670956
,5298,6608513
,5297,2546966
,5301.5,6232615
,5304.5,3146503
,5308.5,4151739
,5307,1817721
,5309.5,4236799
,5308,2192143
,5310,3298243
,5317,11551369
,5320.5,13564637
,5320.5,5205416
,5317,4454046
,5320.5,6924565
,5324.5,5698853
,5327,5037152
,5328.5,22975970
,5322,11785376
,5321.5,4988924
,5324.5,2435255
,5360,30884993
,5322.5,98970147
,5317.5,37882678
,5306.5,29663689
,5308,24575519
,5305.5,21822880
,5299.5,15231391
,5294,16022520
,5286.5,21692471
,5294,28156856
,5297,15871506
,5301,8603283
,5305,7961559
,5306,4196563
,5303.5,2967863
,5303.5,644821
,5300.5,2439986
,5305,3240310
,5305,2569678
,5305,2026865
,5312.5,4748906
,5316,7498875
,5317.5,4379174
,5320.5,7131082
,5338,34542888
,5347,15727787
,5360.5,31495998
,5357,16655086
,5365.5,12596958
,5390,40908954
,5373,19856954
,5380.5,17466431
,5373,9170905
,5369,7259554
,5385,9958927
,5374.5,10160660
,5372,2592396
,5378,5029199
,5387,12955883
,5399.5,31720752
,5408,15002346
,5405,34670273
,5400.5,17417534
,5372,44122292
,5366,20720680
,5373,6527517
,5381.5,7066477
,5380,4284476
,5373.5,3310007
,5376,4553120
,5383,4047011
,5382.5,4503357
,5382.5,918077
,5369.5,17378794
,5371,2103064
,5370,6100369
,5376.5,2660574
,5381.5,3575394
,5376,3142373
,5378.5,1392612
,5378.5,1857631
,5400,13230511
,5387.5,10768139
,5375.5,22850676
,5370,3149407
,5367.5,4462571
,5364,9769380
,5376,6599808
,5376,2881538
,5379.5,2141679
,5379.5,1094517
,5377.5,1476266
,5380,2157372
,5386.5,2772811
,5388,3388779
,5388,3456136
,5381,3792268
,5385,1569819
,5386,1230431
,5390.5,3696757
,5381.5,4625338
,5379,2614862
,5379.5,2323917
,5385,2161219
,5388,2270387
,5385,1920396
,5392.5,4488637
,5391,11547608
,5394.5,3291767
,5388,3311411
,5384.5,3250676
,5384,5857118
,5383,1651334
,5385,1679962
,5379.5,4859049
,5376.5,7318195
,5372.5,2610677
,5375.5,2919506
,5380,4461485
,5378.5,941414
,5383,1534017
,5384,1482054
,5384.5,3068876
,5375,4890217
,5369,4206508
,5367,8650795
,5370.5,6930458
,5366.5,2777254
,5373,2466235
,5379,3537586
,5377.5,2370608
,5379.5,946323
,5373.5,3549173
,5373.5,701163
,5373.5,168406
,5382.5,5255379
,5376,3105277
,5378,1719454
,5377.5,387027
,5379.5,786731
,5378.5,748176
,5378.5,309183
,5379.5,1397333
,5379.5,832889
,5380.5,611166
,5380,1475106
,5384,2083388
,5389,4647704
,5395.5,5864420
,5399.5,11725610
,5392,5583137
,5392,2273095
,5393,987358
,5392.5,243143
,5401,4300774
,5396.5,4100837
,5399.5,1333185
,5411.5,17837329
,5409.5,4935025
,5417,4632923
,5417.5,12455898
,5410,8262256
,5407,7059732
,5415.5,5891251
,5423,6874434
,5423,9141744
,5435,14272813
,5433.5,22341840
,5426.5,15434486
,5442.5,11079133
,5499,66532547
,5471,35157494
,5460,26612119
,5608.5,85070348
,5562.5,90550758
,5545.5,51907106
,5521,30247250
,5520.5,48268822
,5488,58834456
,5494,36067485
,5512,24710164
,5510.5,19202582
,5525.5,16325776
,5518,11665249
,5508,7508413
,5508,4343030
,5519.5,5880259
,5522,4568785
,5522.5,4505333
,5540,17942204
,5549,21738951
,5541,10836115
,5535,6690937
,5538.5,6783548
,5542.5,6175542
,5534,6408912
,5533.5,4282267
,5521.5,7979304
,5516,8200451
,5514.5,11490487
,5523,6334406
,5524.5,2163231
,5526,2489389
,5530.5,6137010
,5530.5,2166224
,5533,4884324
,5528,5971364
,5527.5,2411923
,5532,1493627
,5540,9021273
,5545,7021235
,5538,10944187
,5542,6253876
,5541.5,7884004
,5536,5116845
,5540.5,3147771
,5536,3725078
,5540,3281130
,5545.5,5774853
,5548.5,12890001
,5559.5,27908231
,5563,19314399
,5574,15957653
,5556,19901904
,5557,9045962
,5555,12165040
,5548.5,6097022
